Title,Year Published,Rating,Length (Min)
Lizzie McGuire Movie,2003,PG,94
Lone Ranger,2013,PG-13,149
Love Bug The,1968,G,107
Love Leads the Way,1984,NR,99
Lt. Robin Crusoe U.S.N.,1966,NR,95
Luck of the Irish,2001,G,86
Magic Kingdom,2013,,0
Mail to the Chief,2000,NR,89
Make Mine Music,1946,NR,74
Maleficent,2014,,0
Man of the House,1995,PG,96
Many Adventures of Winnie the Pooh The,1977,G,74
Mars Needs Moms,2011,PG,88
Mary Poppins,1964,G,139
Max Keeble's Big Move,2001,PG,86
McFarland,2013,,0
Meet the Deedles,1998,PG,93
Meet the Robinsons,2007,G,102
Melody Time,1948,NR,75
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001,G,65
Mickey's Once Upon a Christmas,1999,G,66
Mickey's Twice Upon a Christmas,2004,G,68
Midnight Madness,1980,PG,112
Mighty Ducks The,1992,PG,100
Mighty Joe Young,1998,PG,114
Million Dollar Arm,2014,,0
Million Dollar Duck The,1971,G,89
Minutemen,2008,G,98
Miracle,2004,PG,135
Miracle in Lane 2,2000,G,120
Miracle of the White Stallions,1963,G,93
Misadventures of Merlin Jones The,1964,NR,91
Mom's Got A Date With A Vampire,2000,PG,85
Monkey's Uncle The,1965,NR,87
Monkeys Go Home!,1967,NR,101
Monsters University,2013,,0
Monsters Inc,2001,G,92
Moon Pilot,1962,NR,98
Moon Spinners The,1964,G,118
Motocrossed,2001,NR,88
Mr. Magoo,1997,PG,87
Mulan,1998,G,88
Mulan II,2004,G,79
Muppet Christmas Carol The,1992,G,85
Muppet Movie The,1979,G,95
Muppet Treasure Island,1996,G,99
Muppets The,2011,PG,103
Muppets: Most Wanted,2014,,0
Mustang,1973,,0
My Favorite Martian,1999,PG,93
My Friends Tigger and Pooh: Super Sleuth Christmas,2007,NR,44
Napoleon and Samantha,1972,G,92
National Treasure,2004,PG,131
National Treasure 3,2014,,0
National Treasure: Book of Secrets,2007,PG,124
Never A Dull Moment,1968,G,99
Never Cry Wolf,1983,PG,91
Newsies,1992,PG,121
Night Crossing,1982,PG,107
Nightmare Before Christmas The,1993,PG,76
No Deposit No Return,1976,G,112
North Avenue Irregulars The,1979,G,100
Northern Lights,1997,NR,111
Now You See Him Now You Don't,1972,G,88
Now You See It,2005,G,83
Odd Life of Timothy Green The,2012,PG,105
Old Dogs,2009,PG,88
Old Yeller,1957,G,83
Oliver and Company,1988,g,74
Once Upon a Mattress,2005,PG,90
